NewVehicleRef,Timestamp_x,segment_id,HalfHourly,intersections_y,busstops_y,DayOfWeek_y,Holiday_y,BusLane_y,AvgSpeed
MTA NYCT_3881_1,2018-04-07 18:21:01-04:00,2,4,15,5,6,1,False,1.60290414878
MTA NYCT_3881_1,2018-04-09 17:20:24-04:00,2,2,15,5,1,0,True,2.0368359375
MTA NYCT_3881_1,2018-04-10 19:41:31-04:00,2,7,15,5,2,0,False,2.19577272727
MTA NYCT_3881_1,2018-04-09 17:29:28-04:00,3,2,16,6,1,0,True,2.25164444444
MTA NYCT_3881_1,2018-04-10 19:49:24-04:00,3,7,16,6,2,0,False,3.33082352941
MTA NYCT_3881_1,2018-04-09 17:37:30-04:00,4,3,9,1,1,0,True,1.98513888889
MTA NYCT_3881_1,2018-04-10 19:54:10-04:00,4,7,9,1,2,0,False,2.61272251309
MTA NYCT_3881_1,2018-04-09 17:42:49-04:00,5,3,8,3,1,0,True,1.6358125
MTA NYCT_3881_1,2018-04-10 19:57:52-04:00,5,7,8,3,2,0,False,3.247734375
MTA NYCT_3881_1,2018-04-07 18:53:00-04:00,6,5,9,3,6,1,False,2.552
MTA NYCT_3881_1,2018-04-09 17:49:14-04:00,6,3,9,3,1,0,True,2.14974093264
MTA NYCT_3882_1,2018-04-07 18:03:47-04:00,1,4,11,4,6,1,False,3.74635416667
MTA NYCT_3882_1,2018-04-09 16:25:59-04:00,1,0,11,4,1,0,True,3.61380090498
MTA NYCT_3882_1,2018-04-11 16:06:47-04:00,1,0,11,4,3,0,True,0.661420612813
MTA NYCT_3882_1,2018-04-12 16:18:50-04:00,1,0,11,4,4,0,True,4.30842519685
MTA NYCT_3882_1,2018-04-07 18:07:31-04:00,2,4,15,5,6,1,False,1.7927037037
MTA NYCT_3882_1,2018-04-09 16:30:14-04:00,2,1,15,5,1,0,True,2.34487046632
MTA NYCT_3882_1,2018-04-11 16:25:48-04:00,2,0,15,5,3,0,True,1.54077961019
MTA NYCT_3882_1,2018-04-12 16:21:29-04:00,2,0,15,5,4,0,True,2.41635164835
MTA NYCT_3882_1,2018-04-07 18:17:36-04:00,3,4,16,6,6,1,False,
MTA NYCT_3882_1,2018-04-09 16:37:11-04:00,3,1,16,6,1,0,True,2.25896629213
MTA NYCT_3882_1,2018-04-11 16:37:27-04:00,3,1,16,6,3,0,True,1.97493087558
MTA NYCT_3882_1,2018-04-12 16:29:35-04:00,3,0,16,6,4,0,True,1.86256239601
MTA NYCT_3882_1,2018-04-09 16:45:07-04:00,4,1,9,1,1,0,True,1.86618243243
MTA NYCT_3882_1,2018-04-11 16:45:12-04:00,4,1,9,1,3,0,True,2.97020833333
MTA NYCT_3882_1,2018-04-12 16:40:08-04:00,4,1,9,1,4,0,True,2.07428093645
MTA NYCT_3882_1,2018-04-09 16:52:43-04:00,5,1,8,3,1,0,True,1.569
MTA NYCT_3882_1,2018-04-11 16:48:55-04:00,5,1,8,3,3,0,True,1.32151832461
MTA NYCT_3882_1,2018-04-12 16:45:39-04:00,5,1,8,3,4,0,True,1.75160714286
MTA NYCT_3882_1,2018-04-07 18:38:32-04:00,6,5,9,3,6,1,False,2.81787610619
MTA NYCT_3882_1,2018-04-09 16:56:26-04:00,6,1,9,3,1,0,True,1.81207920792
MTA NYCT_3882_1,2018-04-11 16:52:37-04:00,6,1,9,3,3,0,True,2.58099378882
MTA NYCT_3882_1,2018-04-12 16:50:27-04:00,6,1,9,3,4,0,True,2.35228346457
MTA NYCT_3883_1,2018-04-11 16:00:03-04:00,1,0,11,4,3,0,True,0.498366812227
MTA NYCT_3883_1,2018-04-12 17:36:53-04:00,1,3,11,4,4,0,True,2.25371069182
MTA NYCT_3883_1,2018-04-09 16:00:16-04:00,2,0,15,5,1,0,True,1.902734375
MTA NYCT_3883_1,2018-04-11 16:20:11-04:00,2,0,15,5,3,0,True,2.19620545073
MTA NYCT_3883_1,2018-04-12 17:42:43-04:00,2,3,15,5,4,0,True,2.23112288136
MTA NYCT_3883_1,2018-04-09 16:02:55-04:00,3,0,16,6,1,0,True,2.74544736842
MTA NYCT_3883_1,2018-04-10 16:00:17-04:00,3,0,16,6,2,0,True,1.81088050314
MTA NYCT_3883_1,2018-04-11 16:28:40-04:00,3,0,16,6,3,0,True,2.68988571429
MTA NYCT_3883_1,2018-04-12 17:51:08-04:00,3,3,16,6,4,0,True,2.04375925926
MTA NYCT_3883_1,2018-04-09 16:10:18-04:00,4,0,9,1,1,0,True,1.66527559055
MTA NYCT_3883_1,2018-04-10 16:04:31-04:00,4,0,9,1,2,0,True,0.860882352941
MTA NYCT_3883_1,2018-04-11 16:35:01-04:00,4,1,9,1,3,0,True,1.84439688716
MTA NYCT_3883_1,2018-04-12 18:00:39-04:00,4,4,9,1,4,0,True,1.63492877493
MTA NYCT_3883_1,2018-04-09 16:17:11-04:00,5,0,8,3,1,0,True,1.45158450704
MTA NYCT_3883_1,2018-04-10 16:12:58-04:00,5,0,8,3,2,0,True,1.96272727273
MTA NYCT_3883_1,2018-04-11 16:39:50-04:00,5,1,8,3,3,0,True,1.90586614173
MTA NYCT_3883_1,2018-04-12 18:07:01-04:00,5,4,8,3,4,0,True,2.10180645161
MTA NYCT_3883_1,2018-04-09 16:22:28-04:00,6,0,9,3,1,0,True,1.94791489362
MTA NYCT_3883_1,2018-04-10 16:17:43-04:00,6,0,9,3,2,0,True,2.16
MTA NYCT_3883_1,2018-04-11 16:44:36-04:00,6,1,9,3,3,0,True,2.70924528302
MTA NYCT_3883_2,2018-04-09 19:41:02-04:00,1,7,11,4,1,0,False,9.6473015873
MTA NYCT_3883_2,2018-04-09 19:42:37-04:00,2,7,15,5,1,0,False,4.00385650224
MTA NYCT_3883_2,2018-04-09 19:47:25-04:00,3,7,16,6,1,0,False,3.75248251748
MTA NYCT_3883_2,2018-04-09 19:52:42-04:00,4,7,9,1,1,0,False,1.20845849802
MTA NYCT_3883_2,2018-04-09 19:57:27-04:00,5,7,8,3,1,0,False,3.06291338583
MTA NYCT_3885_1,2018-04-12 18:35:25-04:00,1,5,11,4,4,0,True,3.546
MTA NYCT_3885_1,2018-04-12 18:38:21-04:00,2,5,15,5,4,0,True,2.71890710383
MTA NYCT_3885_1,2018-04-12 18:45:32-04:00,3,5,16,6,4,0,True,3.12667741935
MTA NYCT_3885_1,2018-04-12 18:51:14-04:00,4,5,9,1,4,0,True,1.68394984326
MTA NYCT_3885_1,2018-04-12 18:58:40-04:00,5,5,8,3,4,0,False,1.23749385749
MTA NYCT_3885_1,2018-04-12 19:05:59-04:00,6,6,9,3,4,0,False,1.99931937173
MTA NYCT_3886_1,2018-04-08 16:47:26-04:00,1,1,11,4,7,1,False,2.45882882883
MTA NYCT_3886_1,2018-04-09 18:23:09-04:00,1,4,11,4,1,0,True,6.65008928571
MTA NYCT_3886_1,2018-04-10 18:15:37-04:00,1,4,11,4,2,0,True,2.75080139373
MTA NYCT_3886_1,2018-04-08 16:51:40-04:00,2,1,15,5,7,1,False,1.86575206612
MTA NYCT_3886_1,2018-04-09 18:25:34-04:00,2,4,15,5,1,0,True,3.54501915709
MTA NYCT_3886_1,2018-04-10 18:20:56-04:00,2,4,15,5,2,0,True,2.08771203156
MTA NYCT_3886_1,2018-04-08 17:02:16-04:00,3,2,16,6,7,1,False,2.97065616798
MTA NYCT_3886_1,2018-04-09 18:31:00-04:00,3,5,16,6,1,0,True,2.19089912281
MTA NYCT_3886_1,2018-04-10 18:30:07-04:00,3,5,16,6,2,0,True,2.47821192053
MTA NYCT_3886_1,2018-04-08 17:09:08-04:00,4,2,9,1,7,1,False,4.12905511811
MTA NYCT_3886_1,2018-04-09 18:39:15-04:00,4,5,9,1,1,0,True,1.89337883959
MTA NYCT_3886_1,2018-04-10 18:38:43-04:00,4,5,9,1,2,0,True,2.47927419355
MTA NYCT_3886_1,2018-04-08 17:12:18-04:00,5,2,8,3,7,1,False,5.58914893617
MTA NYCT_3886_1,2018-04-09 18:45:12-04:00,5,5,8,3,1,0,True,1.44574647887
MTA NYCT_3886_1,2018-04-10 18:43:54-04:00,5,5,8,3,2,0,True,2.66724409449
MTA NYCT_3886_1,2018-04-08 17:14:25-04:00,6,2,9,3,7,1,False,1.99152380952
MTA NYCT_3886_1,2018-04-09 18:52:11-04:00,6,5,9,3,1,0,True,2.56020618557
MTA NYCT_3886_1,2018-04-10 18:46:33-04:00,6,5,9,3,2,0,True,1.98316455696
MTA NYCT_3886_2,2018-04-08 19:32:02-04:00,1,7,11,4,7,1,False,8.38301587302
MTA NYCT_3886_2,2018-04-08 19:33:38-04:00,2,7,15,5,7,1,False,3.51180412371
MTA NYCT_3886_2,2018-04-08 19:39:01-04:00,3,7,16,6,7,1,False,3.40872641509
MTA NYCT_3886_2,2018-04-08 19:44:07-04:00,4,7,9,1,7,1,False,
MTA NYCT_3886_2,2018-04-08 19:44:38-04:00,5,7,8,3,7,1,False,
MTA NYCT_3886_2,2018-04-08 19:45:09-04:00,6,7,9,3,7,1,False,2.76618556701
MTA NYCT_3887_1,2018-04-07 19:07:00-04:00,1,6,11,4,6,1,False,8.456875
MTA NYCT_3887_1,2018-04-09 16:42:38-04:00,1,1,11,4,1,0,True,2.42596825397
MTA NYCT_3887_1,2018-04-10 16:24:34-04:00,1,0,11,4,2,0,True,3.27740909091
MTA NYCT_3887_1,2018-04-11 17:44:19-04:00,1,3,11,4,3,0,True,1.4924260355
MTA NYCT_3887_1,2018-04-12 17:05:14-04:00,1,2,11,4,4,0,True,2.01617414248
MTA NYCT_3887_1,2018-04-07 19:08:35-04:00,2,6,15,5,6,1,False,1.7266927593
MTA NYCT_3887_1,2018-04-09 16:48:25-04:00,2,1,15,5,1,0,True,2.02228690229
MTA NYCT_3887_1,2018-04-10 16:28:46-04:00,2,0,15,5,2,0,True,2.07521097046
MTA NYCT_3887_1,2018-04-11 17:53:18-04:00,2,3,15,5,3,0,True,1.95661870504
